"","date1","X.x","botswana_time_start","ID","activity_x","activity_z","activity_y","lux","tempMaun","hour","movement_distance","lon","lat","temp","meanDist","sumDist","active","perc_na","diff","date","moon_fraction","dist1","sum24_dist","temp_lag24","max_temp24","status","month","season","X.y","rain","seasonal_year","rain_cumulative","time_fc","hour_p","hour_fc","date_fc","radTimestamp","sunTime","max_temp24Sc","status2","fitted.fit","fitted.se.fit","fitted2","CIymin","CIymax"
"1",2012-04-02, 48873,2012-04-02 18:37:00,"Jesus",120.240700,163.944400,256.935200,  0.4528799000,26.98148,18, 2711.625000,783036.5,7847200,19.44479, 225.9687000, 2711.625000,10,0,1,"2012-04-02",0.730157687, 3783.2390000, 15032.293,20.35792,26.44410,"b_active", 4,"dry",676, 0,2011,511.0,"(2012.2533716606)",0.75000000,"(0.75)","(2012.25136612022)",4.8738319,4.76192903,-2,"b_active",0.892934750,0.010937203,0.8929348,0.8714978,0.9143717
"2",2012-04-02, 48874,2012-04-02 19:37:00,"Jesus",117.177800,145.688900,220.044400,  0.4711768000,25.68889,19, 1128.481000,782054.4,7847962,17.88735,  94.0400600, 1128.481000, 2,0,1,"2012-04-02",0.730157687, 2711.6250000, 14894.844,17.54031,26.44410,"a_inactive", 4,"dry",676, 0,2011,511.0,"(2012.25348550395)",0.79166667,"(0.791666666666667)","(2012.25136612022)",5.1356313,5.02095690,-2,"b_active",0.894983502,0.010798560,0.8949835,0.8738183,0.9161487
"3",2012-04-02, 48875,2012-04-02 20:37:00,"Jesus",139.202700,201.675700,313.527000,  0.4763191000,24.91892,20, 2427.374000,779945.1,7849655,16.89364, 202.2811000, 2427.374000, 6,0,1,"2012-04-02",0.730157687, 1128.4810000, 16054.818,16.91529,26.44410,"b_active", 4,"dry",676, 0,2011,511.0,"(2012.2535993473)",0.83333333,"(0.833333333333333)","(2012.25136612022)",5.3974307,5.27998478,-2,"b_active",0.853741755,0.013789309,0.8537418,0.8267147,0.8807688
"5",2012-04-03, 48886,2012-04-03 07:37:00,"Jesus", 35.310340, 45.724140, 71.275860, 31.5033000000,19.20690, 7,  206.980900,791494.1,7854943,21.33618,  17.2484000,  206.980900, 1,0,1,"2012-04-03",0.819804839, 5189.8400000, 21217.181,20.16610,26.44410,"a_inactive", 4,"dry",677, 0,2011,511.0,"(2012.25485162417)",0.29166667,"(0.291666666666667)","(2012.25409836066)",1.9940387,1.85137924,-2,"b_active",0.852819424,0.013450769,0.8528194,0.8264559,0.8791829
"8",2012-04-03, 48887,2012-04-03 08:37:00,"Jesus",  8.400000,  6.450000,  8.050000, 62.1327200000,21.30000, 8,   13.341700,791484.0,7854955,22.93019,   1.1118080,   13.341700, 0,0,1,"2012-04-03",0.819804839,  206.9809000, 20334.035,21.24127,26.44410,"a_inactive", 4,"dry",677, 0,2011,511.0,"(2012.25496546752)",0.33333333,"(0.333333333333333)","(2012.25409836066)",2.2558381,2.11641422,-2,"a_inactive",0.872348238,0.013140763,0.8723482,0.8465923,0.8981041
"9",2012-04-03, 48884,2012-04-03 05:37:00,"Jesus",191.677800,259.833300,390.788900,  0.0341229700,18.84444, 5, 3052.736000,787135.0,7849985,18.22509, 254.3947000, 3052.736000, 8,0,1,"2012-04-03",0.819804839,   15.6153700, 15851.939,15.67403,26.44410,"b_active", 4,"dry",677, 0,2011,511.0,"(2012.25462393746)",0.20833333,"(0.208333333333333)","(2012.25409836066)",1.4704399,1.32732737,-2,"b_active",0.722113136,0.022328662,0.7221131,0.6783490,0.7658773
"11",2012-04-03,100085,2012-04-03 06:37:00,"Yolo",119.173900,154.673900,187.717400, 10.5312800000,18.15217, 6, 2115.431000,782607.7,7842713,20.35196, 176.2859000, 2115.431000,12,0,1,"2012-04-03",0.819804839, 1722.3070000,  4540.653,18.01577,20.35196,"b_active", 4,"dry",677, 0,2011,511.0,"(2012.25473778081)",0.25000000,"(0.25)","(2012.25409836066)",1.7322393,1.58634426,-2,"b_active",0.804039746,0.016680799,0.8040397,0.7713454,0.8367341
"41",2012-04-12, 47469,2012-04-13 01:37:00,"Gomer",  7.550000,  4.700000,  6.550000,  0.2684717000,NA, 1,    3.649677,805386.0,7839819,18.76967,   0.3041398,    3.649677, 0,0,1,"2012-04-12",0.671847112,    5.8532210, 10932.512,13.86678,35.35231,"a_inactive", 4,"dry",686, 0,2011,511.0,"(2012.28149096843)",0.04166667,"(0.0416666666666667)","(2012.27868852459)",0.4232423,0.30009536,-2,"a_inactive",0.343963009,0.021964443,0.3439630,0.3009127,0.3870133
"44",2012-04-12, 47468,2012-04-13 00:37:00,"Gomer",  7.900000,  2.800000,  3.850000,  0.2118365000,21.90000, 0,    5.853221,805385.7,7839814,16.27441,   0.4877684,    5.853221, 0,0,1,"2012-04-12",0.671847112,    4.9114290, 10930.990,14.32146,35.35231,"a_inactive", 4,"dry",686, 0,2011,511.0,"(2012.28137712508)",0.00000000,"(0)","(2012.27868852459)",0.1614430,0.04517249,-2,"a_inactive",0.365369898,0.023282305,0.3653699,0.3197366,0.4110032
"45",2012-04-12, 47467,2012-04-12 23:37:00,"Gomer",  5.950000,  2.150000,  3.600000,  0.0707609800,22.90000,23,    4.911429,805389.2,7839817,16.36748,   0.4092857,    4.911429, 0,0,1,"2012-04-12",0.671847112,    1.6628750, 10925.136,15.02443,35.35231,"a_inactive", 4,"dry",686, 0,2011,511.0,"(2012.28126328172)",0.95833333,"(0.958333333333333)","(2012.27868852459)",6.1828289,6.07206973,-2,"a_inactive",0.440181996,0.024880252,0.4401820,0.3914167,0.4889473
"46",2012-04-13,100323,2012-04-13 04:37:00,"Yolo",  8.150000,  5.950000,  8.050000,  0.3081865000,18.90000, 4, 1329.470000,786794.5,7840335,18.93563, 110.7892000, 1329.470000, 1,0,1,"2012-04-13",0.561151426,15899.3500000,106809.459,12.46016,26.84914,"a_inactive", 4,"dry",687, 0,2011,511.0,"(2012.28183249848)",0.16666667,"(0.166666666666667)","(2012.28142076503)",1.2086405,1.06486397,-2,"b_active",0.605587237,0.026522568,0.6055872,0.5536030,0.6575715
