"","date1","X.x","botswana_time_start","ID","activity_x","activity_z","activity_y","lux","tempMaun","hour","movement_distance","lon","lat","temp","meanDist","sumDist","active","perc_na","diff","date","moon_fraction","dist1","sum24_dist","temp_lag24","max_temp24","status","month","season","X.y","rain","seasonal_year","rain_cumulative","time_fc","hour_p","hour_fc","date_fc","hourX","hourY","hourRad","sex","radTimestamp","sunTime","max_temp24Sc","status2","fitted.fit","fitted.se.fit","fitted2","CIymin","CIymax"
"1",2012-04-06, 66591,2012-04-06 23:26:00,"saf03",  5.103896,  4.350649,  4.298701,  0.8791835000,21.10390,23,  26.435890,778238.0,7844005,12.61328,  2.2029910,  26.435890, 0,0,1,"2012-04-06",0.989332133,  31.718840, 6162.0553,15.915543,28.07708,"a_inactive", 4,"dry",680,0,2011,511.0,"(2012.26484896782)",0.95833333,"(0.958333333333333)","(2012.26229508197)", 9.659258e-01,-2.588190e-01,6.0213859,"female",6.1348323,6.01612348,-2,"b_active",0.895207345,0.014258152,0.8952073,0.8672614,0.9231533
"2",2012-04-06, 66587,2012-04-06 19:26:00,"saf03",  5.000000,  4.190476,  4.634921,  0.7019808000,25.01587,19,  84.385720,778262.1,7844016,16.47147,  7.0321430,  84.385720, 2,0,1,"2012-04-06",0.989332133, 435.277600, 8004.6525,20.944584,28.07708,"a_inactive", 4,"dry",680,0,2011,511.0,"(2012.26439359441)",0.79166667,"(0.791666666666667)","(2012.26229508197)", 2.588190e-01,-9.659258e-01,4.9741884,"female",5.0876348,4.98612956,-2,"b_active",0.936986467,0.009185857,0.9369865,0.9189822,0.9549907
"3",2012-04-06, 66590,2012-04-06 22:26:00,"saf03",  5.025000,  5.075000,  4.283333,  0.8703944000,22.06667,22,  31.718840,778237.2,7844007,13.04843,  2.6432370,  31.718840, 0,0,1,"2012-04-06",0.989332133,  78.091090, 6988.1947,16.353779,28.07708,"a_inactive", 4,"dry",680,0,2011,511.0,"(2012.26473512447)",0.91666667,"(0.916666666666667)","(2012.26229508197)", 8.660254e-01,-5.000000e-01,5.7595865,"female",5.8730329,5.75862500,-2,"b_active",0.918032402,0.011477018,0.9180324,0.8955374,0.9405274
"4",2012-04-06, 66588,2012-04-06 20:26:00,"saf03",  5.891667,  5.833333,  5.150000,  0.7857128000,24.06667,20,  46.542270,778252.3,7844013,14.78314,  3.8785230,  46.542270, 1,0,1,"2012-04-06",0.989332133,  84.385720, 7876.3192,18.015117,28.07708,"a_inactive", 4,"dry",680,0,2011,511.0,"(2012.26450743777)",0.83333333,"(0.833333333333333)","(2012.26229508197)", 5.000000e-01,-8.660254e-01,5.2359878,"female",5.3494342,5.24362804,-2,"b_active",0.942896789,0.008341251,0.9428968,0.9265479,0.9592456
"5",2012-04-06, 66589,2012-04-06 21:26:00,"saf03",  3.158333,  3.566667,  3.066667,  0.8426581000,23.06667,21,  78.091090,778233.8,7844006,13.72988,  6.5075910,  78.091090, 2,0,1,"2012-04-06",0.989332133,  46.542270, 7926.4051,17.006184,28.07708,"a_inactive", 4,"dry",680,0,2011,511.0,"(2012.26462128112)",0.87500000,"(0.875)","(2012.26229508197)", 7.071068e-01,-7.071068e-01,5.4977871,"female",5.6112335,5.50112652,-2,"b_active",0.935390639,0.009284685,0.9353906,0.9171927,0.9535886
"6",2012-04-06, 66586,2012-04-06 18:26:00,"saf03", 46.289470, 36.105263, 41.815790,  0.3860566000,26.07895,18, 435.277600,778458.0,7843908,24.44180, 36.2731300, 435.277600, 5,0,1,"2012-04-06",0.989332133, 670.468400, 8896.1965,22.499397,28.07708,"a_inactive", 4,"dry",680,0,2011,511.0,"(2012.26427975106)",0.75000000,"(0.75)","(2012.26229508197)",-1.836910e-16,-1.000000e+00,4.7123890,"female",4.8258354,4.72863108,-2,"b_active",0.906823607,0.013137757,0.9068236,0.8810736,0.9325736
"12",2012-04-07, 66608,2012-04-07 16:26:00,"saf03", 42.243240, 29.756757, 37.459460, 27.3102400000,30.00000,16, 290.353700,779699.0,7845741,33.82700, 24.1961400, 290.353700, 2,0,1,"2012-04-07",0.998532829,  31.419750, 3637.7010,28.077080,36.86647,"a_inactive", 4,"dry",681,0,2011,511.0,"(2012.2667843048)",0.66666667,"(0.666666666666667)","(2012.2650273224)",-5.000000e-01,-8.660254e-01,4.1887902,"female",4.3022366,4.19952716,-2,"b_active",0.694691689,0.033716638,0.6946917,0.6286071,0.7607763
"13",2012-04-07, 66596,2012-04-07 04:26:00,"saf03", 58.316240, 41.863248, 53.726500,  0.6470078000,19.00000, 4, 993.726800,779075.8,7845318,11.75612, 82.8105700, 993.726800,11,0,1,"2012-04-07",0.998532829, 632.448200, 6183.9604, 9.571880,28.07708,"b_active", 4,"dry",681,0,2011,511.0,"(2012.26541818458)",0.16666667,"(0.166666666666667)","(2012.2650273224)", 5.000000e-01, 8.660254e-01,1.0471976,"female",1.1606440,1.02013524,-2,"b_active",0.909301797,0.012658423,0.9093018,0.8844913,0.9341123
"16",2012-04-07, 66597,2012-04-07 05:26:00,"saf03",  7.441667,  6.666667,  6.258333,  0.4113240000,19.00000, 5,  58.281140,779462.3,7845566,11.40223,  4.8567620,  58.281140, 1,0,1,"2012-04-07",0.998532829, 993.726800, 5449.3503, 9.335826,28.07708,"a_inactive", 4,"dry",681,0,2011,511.0,"(2012.26553202793)",0.20833333,"(0.208333333333333)","(2012.2650273224)", 2.588190e-01, 9.659258e-01,1.3089969,"female",1.4224433,1.27725768,-2,"b_active",0.908142199,0.012817395,0.9081422,0.8830201,0.9332643
"19",2012-04-07, 66617,2012-04-08 01:26:00,"saf03", 87.603450, 64.931034, 93.655170,  0.7423672000,19.94828, 1,2305.050000,779933.0,7845008,15.13126,192.0875000,2305.050000,12,0,1,"2012-04-07",0.998532829,2170.647000, 8101.9276,12.706286,36.86647,"b_active", 4,"dry",681,0,2011,511.0,"(2012.26780889496)",0.04166667,"(0.0416666666666667)","(2012.2650273224)", 9.659258e-01, 2.588190e-01,0.2617994,"female",0.3752458,0.24958319,-2,"b_active",0.875968901,0.016473168,0.8759689,0.8436815,0.9082563
